,en,bg,de,ru_RU,uk_UA
#move_up,Move Up,Премести нагоре,Nach oben,Подвинуть вверх,Пересунути вгору
#move_down,Move Down,Премести надолу,Nach unten,Подвинуть вниз,Пересунути вниз
#delete,Delete,Премахни,Löschen,Удалить,Видалити
#insert_after,Insert After,Вмъкни отпред,Danach einsetzen,Вставить после,Вставити після
#convert_to,Convert To,Превърни в,Konvertieren zu,Конвертировать в,Конвертувати в
#err_not_svg,Doesn’t describe a SVG.,Текстът не описва SVG.,Beschreibt kein SVG.,Не есть описанием SVG,Не є описом SVG.
#err_improper_nesting,Improper nesting.,Несъвместими тагове.,Ungültige Formatierung.,Не правильное вкладывание.,Неправильне вкладення.
#shortcut_inspector_delete,Delete: Deletes the selected tags,Delete: Изтрива избраните тагове,Entf: Ausgewählte Elemente löschen,Delete: Удалить все выбранные тэги,Delete: Видалити усі обрані теги
#shortcut_inspector_ctrl_down,Ctrl+Down: Moves the selected tags down,Ctrl+Down: Премества избраните тагове надолу,Strg+Unten: Ausgewählte Elemente nach unten verschieben,Ctrl+Down: Подвинуть вниз все выбранные тэги,Ctrl+Down: Пересунути усі обрані теги вниз
#shortcut_inspector_ctrl_up,Ctrl+Up: Moves the selected tags up,Ctrl+Up: Премества избраните тагове нагоре,Strg+Hoch: Ausgewählte Elemente nach oben verschieben,Ctrl+Up: Подвинуть вверх все выбранные тэги,Ctrl+Up: Пересунути усі обрані теги вгору
#shortcut_inspector_ctrl_d,Ctrl+D: Duplicates the selected tags,Ctrl+D: Дублирай избраните тагове,Strg+D: Ausgewählte Elemente duplizieren,Ctrl+D: Дублировать выбранные тэги,Ctrl+D: Дублювати обрані теги
#unknown_tag,Unknown Tag,Непознат таг,Unbekanntes Element,Неизвестный тэг,Невідомий тег
#unknown_attribute,Unknown Attribute,Непознат атрибут,Unbekannte Attribute,Неизвестный атрибут,Невідомий атрибут
#import,Import,Импортирай,Importieren,Импортировать,Імпорт
#cancel,Cancel,Отказ,Abbrechen,Отменить,Скасувати
#import_problems,Import Problems,Проблеми в импортирането,Probleme beim Importieren,Проблемы с импортированием,Проблема з імпортуванням
#unknown_tooltip,GodSVG doesn’t recognize this attribute,GodSVG не разпознава този атрибут,GodSVG erkennt diese Attribute nicht,GodSVG не может распознать этот атрибут,GodSVG не може розпізнати цей атрибут
#export,Export,Експортирай,Exportieren,Экспорт,Експорт
#format,Format,Формат,Format,Формат,Формат
#scale,Scale,Мащаб,Skalieren,Маштаб,Масштаб
#size,Size,Размер,Größe,Размер,Розмір
#final_size,Final size,Краен размер,Endgültige Größe,Финальный размер,Фінальний розмір
#export_configuration,Export Configuration,Конфигурация на експорта,Export-Konfiguration,Настройки экспорта,Налаштування експорту
#add_tag,Add new tag,Добави нов таг,Neues Element hinzufügen,Добавить новый тэг,Додати новий тег
#license_tab,License,Лиценз,Lizenz,Лицензия,Ліцензія
#third-party-licenses_tab,Third-party licenses,Лицензи от трети партии,Drittanbieter-Lizenzen,Лицензии третьих лиц,Ліцензії третіх осіб
#authors_tab,Authors,Автори,Autoren,Автори,Автори
#kbd_shortcuts_tab,Shortcuts,Бързи клавиши,Tastenkombinationen,Сочетания клавиш,Клавіатурні скорочення
#palettes,Palettes,Палети,Paletten,Палитры,Палітри
#color_picker,Color Picker,Цветно колело,Farbauswahl,Цветовая пипетка,Кольорова піпетка
#add_color,Add color,Добави цвят,Farbe hinzufügen,Добавить цвет,Додати колір
#edit_palette_name,Edit palette name,Промени името на палетата,Palettennamen ändern,Редактировать название палитры,Редагувати назву палітри
#unnamed,Unnamed,Неименуван,Unbenannt,Без названия,Без назви
#edit_color_name,Edit color name,Промени името на цвета,Farbnamen ändern,Редактировать название цвета,Редагувати назву кольору
#delete_color,Delete color,Изтрий цвета,Farbe löschen,Удалить цвет,Видалити колір
#enable_color,Enable the color,Включи цвета,Farbe aktivieren,Активировать цвет,Активувати колір
#disable_color,Disable the color,Изключи цвета,Farbe deaktivieren,Деактивировать цвет,Деактивувати колір
#godot_third_party,Godot third-party components,Компоненти в Godot от трети лица,Godot Drittanbieter-Komponente,Компоненты Godot от третьих лиц,Компоненти Godot від третіх осіб 
#undo,Undo,Върни назад,Rückgängig,Отменить,Скасувати
#redo,Redo,Върни напред,Wiederholen,Вернуть,Повернути
#copy,Copy,Копирай,Kopieren,Скопировать,Скопіювати
#paste,Paste,Постави,Einfügen,Вставить,Вставити
#cut,Cut,Изрежи,Ausschneiden,Вырезать,Вирізати
#alert,Alert!,Предупреждение!,Warnung!,Внимание!,Увага!
#file_open_fail_message,"The file couldn't be opened.\nTry checking the file path, ensure that the file is not deleted, or choose a different file.","Файлът не може да бъде отворен.\nОпитайте да проверите пътя към файла, уверете се, че файла не е изтрит, или изберете различен файл.","Die Datei konnte nicht geöffnet werden.\nÜberprüfe den Dateipfad, ob die Datei existiert, oder wähle eine andere Datei.","Невозможно открыть этот файл.\nПопробуйте проверить путь до файла, убедитесь что файл не удален або выберите другой файл.","Неможливо відкрити файл.\nСпробуйте перевірити шлях до файлу, впевніться що файл не видалений або оберіть інший файл."
#file_open_unsupported_extension,"""{passed_extension}"" is a unsupported file extension. Only ""svg"" files are supported.","""{passed_extension}"" не е поддържан формат. Единствено ""svg"" файловете са подържани.","""{passed_extension}"" ist eine nicht unterstützte Dateierweiterung. Nur ""svg"" Dateien werden unterstützt.","""{passed_extension}"" это расширение файла которое не поддерживается. Поддерживается только «svg».","""{passed_extension}"" це розширення файлу яке не підтримується. Підтримуються тільки «svg» файли."
#file_open_empty_extension,"The file extension is empty. Only ""svg"" files are supported.","Форматът е празен. Единствено ""svg"" файловете са подържани.","Die Dateierweiterung ist leer. Nur ""svg""-Dateien werden unterstützt.",Расширение файла пустрое. Поддерживается только «svg» файлы.,Розширення файлу порожнє. Підтримується тільки «svg» файли.
#ok,OK,Добре,OK,Хорошо,Добре
#autoformatting_options,Autoformatting options,Опции за автоматично форматиране,Autoformatierungsoptionen,Настройки автоформатирования,Налаштування автоформатування
#numbers,Numbers,Числа,Nummern,Цифры,Цифри
#colors,Colors,Цветове,Farben,Цвета,Кольори
#paths,Paths,Пътеки,Pfade,Пути,Шляхи
#transforms,Transforms,Трансформации,,,
#add_trailing_newline,Add trailing newline,Добави нов ред накрая,,,
#use_shorthand_tag_syntax,Use shorthand tag syntax,Използвай кратък синтаксис за тагове,,,
#enable_autoformatting,Enable autoformatting,Enable autoformatting,Autoformatierung einschalten,Включить автоформатирование,Активувати автоформатування
#remove_zero_padding,Remove zero padding,Премахни нулите накрая,Nullenversatz entfernen,Удалить заполняющие нули,Видалити заповнюючи нулі
#remove_leading_zero,Remove leading zero,Премахни водещата нула,Führende Null entfernen,Удалить начальный ноль,Видалити початковий нуль
#remove_plus_sign,Remove plus sign,Премахни знака плюс,Pluszeichen entfernen,Удалить знак плюса,Видалити знак плюс
#convert_rgb_to_hex,Convert rgb format to hex,Преобразувай форматът rgb в hex,RGB zu HEX konvertieren,Конвертировать rgb формат в hex,Конвертувати rgb формат у hex
#convert_named_to_hex,Convert named colors to hex,Преобразувай именуваните цветове в hex,Benannte Farben zu HEX konvertieren,Конвертировать цвета с названиями в hex,Конвертувати кольори з назвами у hex
#use_shorthand_hex_code,Use shorthand hex code,Използвай кратък hex код,Verkürzten HEX-Code verwenden,Использовать короткие hex коды,Використовувати скорочені hex коди
#use_short_named_colors,Use short named colors,Използвай кратки именувани цветове,Verkürzte Farbnamen verwenden,Использовать короткие названия цветов,Використовувати скорочені назви кольорів
#compress_numbers,Compress numbers,Смали числата,Nummern komprimieren,Сжать цифры,Стиснути цифри
#minimize_spacing,Minimize spacing,Намали паузите,Leerplatz minimieren,Минимизировать размеры,Мінімізувати відстань
#remove_spacing_after_flags,Remove spacing after flags,Премахни паузите след флаговете,,Удалить расстояние после флагов,Видалити відстань після прапорців
#remove_consecutive_commands,Remove consecutive commands,Премахни последователните команди,Aufeinanderfolgende Befehle entfernen,Удалить последовательные команды,Видалити послідовні команди
#relative,Relative,Относително,Relativ,Относительная,Відносна
#absolute,Absolute,Абсолютно,Absolut,Абсолютная,Абсолютна
#remove_association,Remove the association,Премахни асоциацията,,,
